rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.0009,0,8.11252e-06,8.17503e-06
0.0051,0.0002,8.13385e-06,8.19308e-06
0.048,0.0124,8.13533e-06,8.18371e-06
0.0024,0.0001,8.14433e-06,8.20567e-06
0.0466,0.0091,8.1683e-06,8.21617e-06
0.0704,0.0167,8.13674e-06,8.20339e-06
0.0028,0,8.16201e-06,8.22228e-06
0.0366,0.0092,8.16534e-06,8.22596e-06
0.0046,0.0001,8.12975e-06,8.18307e-06
0.0013,0,8.12845e-06,8.19977e-06
0.052,0.0091,8.13923e-06,8.1967e-06
0.0394,0.0066,8.15494e-06,8.21609e-06
0.0015,0.0002,8.1147e-06,8.16575e-06
0.0008,0.0001,8.142e-06,8.21289e-06
0.0011,0.0001,8.11384e-06,8.17203e-06
0.0331,0.0074,8.1481e-06,8.21224e-06
0.0666,0.0234,8.17536e-06,8.2344e-06
0.0028,0.0005,8.12517e-06,8.18879e-06
0.0014,0,8.11737e-06,8.18525e-06
0.013,0.0001,8.15308e-06,8.20444e-06
0.0396,0.0003,8.15711e-06,8.21643e-06
0.0308,0.006,8.12087e-06,8.18619e-06
0.1503,0,8.34136e-06,8.15943e-06
0.0022,0,8.1243e-06,8.18691e-06
0.0016,0,8.10553e-06,8.1671e-06
0.0552,0.0083,8.13473e-06,8.18464e-06
0.034,0.0005,8.19579e-06,8.23721e-06
0.0325,0.0095,8.09393e-06,8.15459e-06
0.0007,0,8.12712e-06,8.20007e-06
0.0407,0.012,8.11622e-06,8.17885e-06
0.0589,0.0189,8.18142e-06,8.2394e-06
0.0329,0.0082,8.14743e-06,8.2015e-06
0.0026,0,8.15692e-06,8.21164e-06
0.0015,0.0002,8.11941e-06,8.18606e-06
0.0017,0.0003,8.12991e-06,8.201e-06
0.0012,0,8.11743e-06,8.18516e-06
0.0008,0,8.12941e-06,8.20313e-06
0.0463,0.0098,8.12113e-06,8.18502e-06
0.0352,0.0071,8.15013e-06,8.21044e-06
0.0013,0.0002,8.11836e-06,8.18618e-06
0.0351,0.0107,8.16744e-06,8.22505e-06
0.0021,0,8.12122e-06,8.19859e-06
